[note 2025-10-05 12:48:24.338-0700] revisiond[125]  <private> starting, built @ Apr 18 2025 22:19:23
[ERR  2025-10-05 12:56:53.160-0700] analyticsd[148]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.160-0700] analyticsd[148]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.161-0700] ReportCrash[867]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.162-0700] ReportCrash[867]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.166-0700] bird[1062]  Can't delete <private>: No such file or directory(2)
[ERR  2025-10-05 12:56:53.166-0700] bird[1062]  Failed to remove folder at path <private> [2: No such file or directory]
[ERR  2025-10-05 12:56:53.166-0700] XProtectBridgeService[608]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.167-0700] XProtectBridgeService[608]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.173-0700] siriactionsd[908]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.178-0700] siriactionsd[908]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.488-0700] analyticsd[148]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.496-0700] ReportCrash[867]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[CRIT 2025-10-05 12:56:53.586-0700] fileproviderd[935] com.apple.CloudDocs.iCloudDriveFileProvider/5{34}2  👽 item content status is notInterested instead of content:import:     <fs:⏯  root import:disk sver:root/M{14}s cver:318645> <-> <fp:▶️  .root sver:zero/ cver:> dir sched:utility#1759694213.132598 rank:1759694213548091904⏳
[ERR  2025-10-05 12:56:53.691-0700] siriactionsd[908]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.814-0700] XProtectBridgeService[608]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:56:53.941-0700] bird[1062]  -[NSURL(BRCPathAdditions) brc_issueSandboxExtensionOfClass:error:]: (passed to caller) error: Error Domain=NSPOSIXErrorDomain Code=2 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:56:53.941-0700] bird[1062]  can't create sandbox extension for <private>: Error Domain=NSPOSIXErrorDomain Code=2 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:56:53.960-0700] bird[1062]  -[NSURL(BRCPathAdditions) brc_issueSandboxExtensionOfClass:error:]: (passed to caller) error: Error Domain=NSPOSIXErrorDomain Code=2 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:56:53.960-0700] bird[1062]  can't create sandbox extension for <private>: Error Domain=NSPOSIXErrorDomain Code=2 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:56:53.960-0700] bird[1062]  -[NSURL(BRCPathAdditions) brc_issueSandboxExtensionOfClass:error:]: (passed to caller) error: Error Domain=NSPOSIXErrorDomain Code=2 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:56:53.960-0700] bird[1062]  can't create sandbox extension for <private>: Error Domain=NSPOSIXErrorDomain Code=2 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:56:54.054-0700] revisiond[125]  [ImportCookie] No library on volume: 16777231, URL: <private>
[ERR  2025-10-05 12:56:54.055-0700] revisiond[125]  [ImportCookie] Unable to open cookie path, error No such file or directory
[ERR  2025-10-05 12:56:54.067-0700] bird[1062]  <private>: EINTR: client gather phase was invalidated
[ERR  2025-10-05 12:56:54.076-0700] bird[1062]  <private>: EINTR: client gather phase was invalidated
[ERR  2025-10-05 12:56:54.167-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x560019560 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:54.187-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x560018f30 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:54.228-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x560019710 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:54.259-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x560019d10 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.045-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001a0a0 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.130-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001ac70 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.181-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001ac70 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.249-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x560018270 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.265-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001b660 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.298-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001aee0 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.315-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001a910 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.344-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001ab20 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:56:55.414-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>'; Error Domain=NSCocoaErrorDomain Code=513 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x56001a1c0 {Error Domain=NSPOSIXErrorDomain Code=1}}
[ERR  2025-10-05 12:57:35.431-0700] analyticsd[148]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:57:35.431-0700] ReportCrash[867]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:57:37.703-0700] XProtectBridgeService[608]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:58:06.052-0700] ContainerMetadataExtractor[1471]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:58:58.586-0700] fileproviderd[935]  fsctl failed to resolve docID 98 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:58:58.917-0700] fileproviderd[935]  fsctl failed to resolve docID 98 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:58:59.034-0700] fileproviderd[935]  fsctl failed to resolve docID 97 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:58:59.243-0700] fileproviderd[935]  fsctl failed to resolve docID 97 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:58:59.344-0700] fileproviderd[935]  fsctl failed to resolve docID 98 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:58:59.652-0700] fileproviderd[935]  fsctl failed to resolve docID 97 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:00.177-0700] fileproviderd[935]  fsctl failed to resolve docID 98 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:00.463-0700] fileproviderd[935]  fsctl failed to resolve docID 97 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:01.798-0700] fileproviderd[935]  fsctl failed to resolve docID 98 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:02.071-0700] fileproviderd[935]  fsctl failed to resolve docID 97 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:04.805-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6920526d0 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:05.304-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x692053540 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:06.247-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f5d40 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:06.646-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f6130 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:06.723-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f65b0 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:07.314-0700] bird[1062]  Unable to exclude '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a24f90 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:07.726-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f7d80 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:08.592-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f57d0 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:08.689-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f5e60 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:09.831-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d390fa60; recordName=directory/root, zoneID=iCloud.com.omz-software.Pythonista3:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:09.832-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:09.832-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f7d80 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:10.013-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f5f50 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:10.948-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f5740 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:11.936-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f4a80 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:12.806-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f5740 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:13.179-0700] com.apple.CloudDocs.iCloudDriveFileProvider[1469]  We had an error Error Domain=BRCloudDocsErrorDomain Code=17 UserInfo={NSUnderlyingError=0x6923f5b60 {Error Domain=CKErrorDomain Code=20}}, but returning as if we didn't have an error to unblock materialization
[ERR  2025-10-05 12:59:13.459-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:13.649-0700] bird[1062]  sqlite error handler called on pending sync db - <private> (Error Domain=SqliteErrorDomain Code=10 UserInfo={SqliteSQL=<private>, SqliteExtendedCode=6922, NSDescription=<private>})
[ERR  2025-10-05 12:59:13.673-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:13.830-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:13.977-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a252c0 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:14.931-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d38be1a0; recordName=directory/root, zoneID=A4TNTG4XXA.com.ndemiccreations.plagueinc:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:14.932-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:15.110-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d3a81300; recordName=directory/root, zoneID=iCloud.com.ubnt.unifiac:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:15.110-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:15.745-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d384acc0; recordName=directory/root, zoneID=2HCKV38EEC.com.p5sys.jump.servers:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:15.746-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:15.997-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:16.166-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25410 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:16.459-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:16.623-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d2f1dd80; recordName=directory/root, zoneID=4R6749AYRE.com.pixelmatorteam.pixelmator:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:16.624-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:16.654-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25470 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:16.739-0700] bird[1062]  We can't find a record which really should exist - <CKRecordID: 0x6d3a813a0; recordName=directory/documents, zoneID=iCloud.com.sega.sonicdashplus:__defaultOwner__>.  Unblocking other records from save
[ERR  2025-10-05 12:59:16.747-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d3a813a0; recordName=directory/documents, zoneID=iCloud.com.sega.sonicdashplus:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:16.779-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d3a80840; recordName=directory/root, zoneID=iCloud.com.apple.Playgrounds:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:16.785-0700] bird[1062]  failed to deserialize records for <private>: Error Domain=CKErrorDomain Code=2 UserInfo={ContainerID=<private>, NSDebugDescription=<private>, CKPartialErrors=<private>, RequestUUID=<private>, NSLocalizedDescription=<private>, CKErrorDescription=<private>, NSUnderlyingError=0x6d228d5c0 {Error Domain=CKInternalErrorDomain Code=1011 UserInfo={CKErrorDescription=<private>, NSLocalizedDescription=<private>, CKPartialErrors=<private>}}}
[ERR  2025-10-05 12:59:16.814-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:16.863-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:17.021-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25530 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:17.059-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25500 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:17.406-0700] ContainerMetadataExtractor[1471]  -[NSFileManager(TempFilesAdditions) brc_createTemporarySubdirectoryOfItem:withTemplate:error:]: (passed to caller) error: Error Domain=NSPOSIXErrorDomain Code=1 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:59:17.406-0700] ContainerMetadataExtractor[1471]  unable to create directory at '<private>.XXXXXX'; Error Domain=NSPOSIXErrorDomain Code=1 UserInfo={NSDescription=<private>}
[ERR  2025-10-05 12:59:17.479-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:17.509-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25b30 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:17.735-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d3acd7a0; recordName=directory/root, zoneID=iCloud.com.mediocre.smashhit.arcade:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:17.768-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:17.774-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25f20 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:18.125-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25aa0 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:18.181-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:18.567-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25fb0 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:18.644-0700] fileproviderd[935]  fsctl failed to resolve docID 99 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:18.770-0700] bird[1062]  We can't find a record which really should exist - <CKRecordID: 0x6d31f6920; recordName=directory/documents, zoneID=iCloud.com.gamehouse.delicious15.arcade:__defaultOwner__>.  Unblocking other records from save
[ERR  2025-10-05 12:59:18.770-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d31f6920; recordName=directory/documents, zoneID=iCloud.com.gamehouse.delicious15.arcade:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:18.798-0700] bird[1062]  failed to deserialize records for <private>: Error Domain=CKErrorDomain Code=2 UserInfo={ContainerID=<private>, NSDebugDescription=<private>, CKPartialErrors=<private>, RequestUUID=<private>, NSLocalizedDescription=<private>, CKErrorDescription=<private>, NSUnderlyingError=0x6d3ae34b0 {Error Domain=CKInternalErrorDomain Code=1011 UserInfo={CKErrorDescription=<private>, NSLocalizedDescription=<private>, CKPartialErrors=<private>}}}
[ERR  2025-10-05 12:59:18.843-0700] bird[1062]  We couldn't fetch recordID <CKRecordID: 0x6d3ac37a0; recordName=directory/root, zoneID=iCloud.com.sega.sonicdashplus:__defaultOwner__> so it's not going to save. We deleted 1 items from pending subresources table for this
[ERR  2025-10-05 12:59:18.846-0700] bird[1062]  failed to deserialize records for <private>: (null)
[ERR  2025-10-05 12:59:18.853-0700] fileproviderd[935]  fsctl failed to resolve docID 99 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:18.913-0700] fileproviderd[935]  fsctl failed to resolve docID 100 to file ID using path <private>; error 2 (No such file or directory)
[ERR  2025-10-05 12:59:19.042-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a25020 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:59:19.109-0700] bird[1062]  Unable to include '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d3a24ff0 {Error Domain=NSOSStatusErrorDomain Code=100002}}
